SMILES,pIC50
O=C1CCC2C3[C@H](OC(C)=O)C(C4=CC(CCC4(C)C3CCC21C)=O)=O,5.276
O=C1CCC2C3[C@H](O)C(C4=CC(CCC4(C)C3CCC21C)=O)=O,4.959
O=C1CCC2C3CC(C4=CC(C(C)(C)CC4(C)C3CCC21C)=O)=O,6.523
O=C1CCC2C3CC(C4=C(OC)C(C(C)(C)CC4(C)C3CCC21C)=O)=O,5.721
O=C1CCC2C3CC(C4=C(O)C(C(C)(C)CC4(C)C3CCC21C)=O)=O,6.357
O=C1CCC2C3CC(C4=CC(C(O)=CC4(C)C3CCC21C)=O)=O,5.252
O=C1CCC2C3CC(C4=CC([C@H](OC(C)=O)CC4(C) C3CCC21C)=O)=O,4.469
O=C1CCC2C3CC(C4=C(OC)C(CCC4(C)C3CCC21C)=O)=O,5.699
O=C1CCC2C3CC(C4=C(OCC)C(CCC4(C)C3CCC21C)=O)=O,5.347
O=C1CCC2C3CC(C4=C(O)C(CCC4(C)C3CCC21C)=O)=O,6.337
O=C1CCC2C3C(C)C4=CC(CCC4(C)C3CCC21C)=O,6.562
CC12C(CCC2=O)C3C(C)C(OC4(C)C3CC1)=CC(CC4)=O,5.009
CC(OC1=CC=C(C(/C(CC)=C2SC(C=C/2)=O)CC)C=C1)=O,4.81
CC1C(C)(CCC2=CC(OC2)=O)C3CCC=C4C3(COC4=O)CC1O,3.9
CC1=C(C#N)C=C(C2=N1)C(NC3=CC=C(Cl)C=C3) OC4=C2C=C([N+]([O-])=O)C=C4,6.169
CCCC(OC1=CC(OC(CCC)=O)=CC2=C1C(C)=CC(O2)=O)=O,3.754
O=C1NC(CCC1(CC)C2=CC=NC=C2)=O,5.0
O=C1NC(CCC1(CC)C2=CC=C(N)C=C2)=O,5.097
O=C(CCC(C)1C2=CC=NC=C2)NC1=O,3.611
O=C(CCC(CCC)1C2=CC=NC=C2)NC1=O,5.222
O=C(CCC(CCCC)1C2=CC=NC=C2)NC1=O,5.398
O=C(CCC(CCCCC)1C2=CC=NC=C2)NC1=O,5.602
O=C(CCC(CCCCCC)1C2=CC=NC=C2)NC1=O,5.444
O=C(CCC(CCCCCCC)1C2=CC=NC=C2)NC1=O,5.495
O=C(CCC(CCCCCCCC)1C2=CC=NC=C2)NC1=O,6.481
O=C(CCC(CCCCCCCCC)1C2=CC=NC=C2)NC1=O,5.62
O=C1N(C(CCC1(C2=CC=NC=C2)CC)=O)C,4.523
O=C1N(CC)C(CCC1(CC)C2=CC=NC=C2)=O,3.415
O=C1N(CCC)C(CCC1(CC)C2=CC=NC=C2)=O,4.509
O=C1N(CCCC)C(CCC1(CC)C2=CC=NC=C2)=O,4.398
O=C1N(CCCCC)C(CCC1(CC)C2=CC=NC=C2)=O,4.678
O=C1N(CCCCCC)C(CCC1(CC)C2=CC=NC=C2)=O,5.18
O=C1N(CCCCCCC)C(CCC1(CC)C2=CC=NC=C2)=O,5.824
O=C1N(CCCCCCCC)C(CCC1(CC)C2=CC=NC=C2)=O,6.097
O=C1N(CCCCCCCCC)C(CCC1(CC)C2=CC=NC=C2)=O,5.523
O=C1N(CCCCCCCCCC)C(CCC1(CC)C2=CC=NC=C2)=O,5.0
[H]C1=C([H])C=CC(C(OC2=CC([H])=CC([H])=C23)=CC3=O)=C1,4.312
[H]C1=C([H])C=CC(C(OC2=CC(O)=CC([H])=C23)=CC3=O)=C1,6.699
[H]C1=C(O)C=CC(C(OC2=CC(O)=CC(O)=C23)=CC3=O)=C1,5.538
OC1=C(O)C=CC(C(OC2=CC(O)=CC(O)=C23)=CC3=O)=C1,5.921
O=C(C1)C2=C([H])C=C([H])C=C2OC1C3=CC([H])=C([H])C=C3,4.86
O=C(C1)C2=C([H])C=C(O)C=C2OC1C3=CC([H])=C([H])C=C3,5.62
O=C(C1)C2=C(O)C=C(O)C=C2OC1C3=CC([H])=C(O)C=C3,5.036
O=C(C1)C2=C(O)C=C(O)C=C2OC1C3=CC(O)=C(O)C=C3,6.222
O=C(C1)C2=C(O)C=C(O)C=C2OC1C3=CC(O)=C(OC)C=C3,5.481
[H]C1=CC(O)=CC([H])=C1C(/C=C/C2=CC([H])=C([H])C=C2)=O,4.514
OC1=CC(OC)=CC(O)=C1C(/C=C/C2=CC([H])=C([H])C=C2)=O,4.845
[H]C1=CC(O)=CC(O)=C1C(/C=C/C2=CC([H])=C(O)C=C2)=O,4.461
OC1=CC(O)=CC(O)=C1C(/C=C/C2=CC([H])=C(O)C=C2)=O,5.585
OC1=CC(O)=CC(O)=C1C(/C=C/C2=CC(O)=C(O)C=C2)=O,5.553
OC1=CC(O)=CC(O)=C1C(/C=C/C2=CC(O)=C(OC)C=C2)=O,4.616
O=C(N1)CC[C@@](C2=CC=NC=C2)(C)C1=O,3.611
O=C(N1)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5.0
O=C(N1)CC[C@@](C2=CC=NC=C2)(CCC)C1=O,5.222
O=C(N1)CC[C@@](C2=CC=NC=C2)(CCCC)C1=O,5.398
O=C(N1)CC[C@@](C2=CC=NC=C2)(CCCCC)C1=O,5.602
O=C(N1)CC[C@@](C2=CC=NC=C2)(CCCCCC)C1=O,5.444
O=C(N1)CC[C@@](C2=CC=NC=C2)(CCCCCCC)C1=O,5.495
O=C(N1)CC[C@@](C2=CC=NC=C2)(CCCCCCCC)C1=O,6.481
O=C(N1)CC[C@@](C2=CC=NC=C2)(CCCCCCCCC)C1=O,5.62
O=C(N1C)CC[C@@](C2=CC=NC=C2)(CC)C1=O,4.523
O=C(N1CC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,3.415
O=C(N1CCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,4.509
O=C(N1CCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,4.398
O=C(N1CCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,4.678
O=C(N1CCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5.18
O=C(N1CCCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5.824
O=C(N1CCCCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,6.097
O=C(N1CCCCCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5.523
O=C(N1CCCCCCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5.0
O=C1C(CC2=CC=NC=C2)=C(N)C3=CC(OC)=CC=C31,5.456
O=C(C1=CC=CC=C1C/2C3=CC=CC=C3)C2=C/C4=CC=NC=C4,6.097
CC1=NC2=C(C=N1)C(N3C=CN=C3)C4=CC=CC=C42,5.55
O=C1C2=CC=CC=C2C3=C1C=C(CN4C=CN=C4)N=N3,4.57
[H]C1(N2C=CN=C2)C3=CC=CC=C3C4=C1C=CC=C4,5.55
C12=CC=CC=C1C3=C(C=CC=C3)C2(N4C=CN=C4)C5=CC=CC=C5,7.13
C12=CC=CC=C1C3=C(C=CC=C3)C2(N4N=CN=C4)C5=CC=CC=C5,5.4
O=C1OC2=CC(OC)=CC=C2C=C1CN3C=CN=C3,5.55
O=C1OC2=CC=CC=C2C(CN3C=CN=C3)=C1,5.68
O=C1OC2=CC(OC)=CC=C2C(CN3C=CN=C3)=C1,6.55
O=C1OC2=CC(OC)=CC=C2C(CN3N=CN=C3)=C1,5.44
O=C1OC2=CC=CC=C2C(OCCN3C=CN=C3)=C1,6.12
O=C1OC2=CC(OC)=CC=C2C(OCCN3C=CN=C3)=C1,4.0
O=C1OC2=CC(OC3=CC=CC=C3)=CC=C2C(CN4C=CN=C4)=C1,7.29
O=C1OC2=CC(OC)=CC(CN3C=CN=C3)=C2C=C1,6.77
O=C1OC2=CC=C(CN3C=CN=C3)C=C2C=C1,6.84
O=C1OC2=CC(CN3C=CN=C3)=CC=C2C=C1,6.17
O=C1OC2=CC(CN3N=CN=C3)=CC=C2C=C1,4.5
O=C1OC2=CC(OCN3C=CN=C3)=CC=C2C=C1,4.5
O=C1OC2=C(CN3C=CN=C3)C(OC)=CC=C2C=C1,4.5
O=C1OC2=CC=CC=C2C(CN3C=CN=C3)=C1C4=CC=CC=C4,5.29
O=C1OC2=CC=CC(C3=CC=CC=C3)=C2C(CN4C=CN=C4)=C1,6.97
O=C1OC2=CC(OCC3=CC=CC=C3)=CC=C2C(CN4C=CN=C4)=C1,6.82
S=C1OC2=CC=C(CN3C=CN=C3)C=C2C=C1,5.95
O=S(OC1=CC=C(C(N2N=CN=C2)C3=CC=C(OS(=O) (N)=O)C=C3)C=C1)(N)=O,5.517
O=S(OC1=CC=CC(C(N2N=CN=C2)C3=CC=CC(OS(=O) (N)=O)=C3)=C1)(N)=O,7.004
BrC1=C(OS(=O)(N)=O)C=CC(C(N2N=CN=C2)C3=CC=C(OS(=O)(N)=O)C(Br)=C3)=C1,7.367
O=S(OC1=CC=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1)(N)=O,7.886
ClC1=C(OS(=O)(N)=O)C=CC(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)=C1,7.921
BrC1=C(OS(=O)(N)=O)C=CC(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)=C1,8.523
OC1=CC=CC(C(N2N=CN=C2)C3=CC=CC(O)=C3)=C1,5.61
OC1=CC=C(C(N2N=CN=C2)C3=CC=C(O)C=C3)C=C1,6.75
OC1=C(Br)C=C(C(N2N=CN=C2)C3=CC=C(O)C(Br)=C3)C=C1,8.0
OC1=C(OC)C=CC(C(N2N=CN=C2)C3=CC=C(OC)C(O)=C3)=C1,6.772
OC1=C(OC)C=C(C(N2N=CN=C2)C3=CC=C(O)C(OC)=C3)C=C1,6.668
OC1=CC=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1,8.143
OC1=C(Cl)C=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1,8.26
OC1=C(Br)C=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1,8.745
OC(C1=CC=C(F)C=C1)(C2=CC(C=CC(OC)=C3)=C3O2)C4=CN=CC=C4,7.357
OC(C1=CC=C(Cl)C=C1)(C2=CC(C=CC(OC)=C3)=C3O2)C4=CN=CC=C4,7.31
OC(C1=CC=C(OC)C=C1)(C2=CC(C=CC(OC)=C3)=C3O2) C4=CN=CC=C4,6.796
COC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C(OC)C=C3)N4C=NC=C4,6.886
FC(C=C1)=CC=C1C(C2=CC(C=CC(OC)=C3)=C3O2)N4C=NC=N4,7.31
ClC(C=C1)=CC=C1C(C2=CC(C=CC(OC)=C3)=C3O2)N4C=NC=N4,7.357
